status	source_video	result_video	artifacts_dir	data_dir	track_id	frame_count	kept	avg_bbox_area	avg_confidence	first_frame_idx	last_frame_idx	quality_pass	quality_note	error
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0091	12	0	59651.11	0.5332	535	548	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0092	102	1	117452.52	0.8077	544	645	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0093	1	0	44991.67	0.3982	554	554	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0094	38	1	66327.94	0.8004	555	592	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0095	1	0	45675.82	0.3784	561	561	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0096	3	0	63699.92	0.4483	570	572	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0097	9	0	21349.90	0.5041	570	578	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0098	138	1	117470.13	0.8605	586	723	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0099	4	0	12005.61	0.5174	628	631	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0100	1	0	9935.61	0.5785	631	631	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0101	91	1	11942.39	0.7065	633	723	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0102	22	1	14580.36	0.7710	635	656	0	borderline_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0103	1	0	4768.83	0.3682	636	636	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0104	76	1	59828.70	0.8026	640	715	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0105	20	1	6522.53	0.4486	651	676	0	borderline_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0106	71	1	13562.29	0.6924	653	723	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0107	25	1	7356.65	0.5471	660	684	0	borderline_short	
